COHUTTA,3/10/14,1:01,10.27,1.73,881,1.56,85,1.94
COHUTTA,3/10/14,1:02,9.67,1.731,882,0.52,87,1.79
COHUTTA,3/10/14,1:03,10.47,1.732,882,1.7,92,0.66
COHUTTA,3/10/14,1:05,9.56,1.734,883,1.35,99,0.68
COHUTTA,3/10/14,1:06,9.74,1.736,884,1.27,92,0.73
COHUTTA,3/10/14,1:08,10.44,1.737,885,1.34,93,1.54
COHUTTA,3/10/14,1:09,9.83,1.738,885,0.06,76,1.44
COHUTTA,3/10/14,1:11,10.49,1.739,886,1.51,81,1.83
COHUTTA,3/10/14,1:12,9.79,1.739,886,1.74,82,1.91
COHUTTA,3/10/14,1:13,10.02,1.739,886,1.24,86,1.79
COHUTTA,3/10/14,1:15,9.54,1.74,886,0.66,98,0.79
COHUTTA,3/10/14,1:16,10.27,1.741,887,1.98,85,1.72
COHUTTA,3/10/14,1:18,10.29,1.741,887,0.19,94,1.23
COHUTTA,3/10/14,1:19,9.8,1.742,887,0.41,93,0.87
COHUTTA,3/10/14,1:21,10.36,1.742,887,1.09,87,1.23
COHUTTA,3/10/14,1:22,10.12,1.743,888,0.91,77,1.06
COHUTTA,3/10/14,1:24,9.68,1.743,888,0.05,94,0.93
COHUTTA,3/10/14,1:25,10.17,1.744,888,1.47,89,1.27
COHUTTA,3/10/14,1:26,10.5,1.744,888,1.54,82,1.36
COHUTTA,3/10/14,1:28,10.3,1.745,889,0.22,82,1.64
COHUTTA,3/10/14,1:29,9.7,1.747,890,1.51,76,0.63
COHUTTA,3/10/14,1:31,9.84,1.748,890,0.48,76,0.96
COHUTTA,3/10/14,1:32,10.19,1.748,891,1.1,100,1.88
COHUTTA,3/10/14,1:34,9.92,1.749,891,1.92,96,1.32
COHUTTA,3/10/14,1:35,9.72,1.75,891,0.5,91,1.08
COHUTTA,3/10/14,1:37,9.51,1.75,892,0.15,75,1.02
COHUTTA,3/10/14,1:38,10.18,1.751,892,0.99,98,0.58
COHUTTA,3/10/14,1:39,9.95,1.752,892,1.49,94,1.44
